class,elements,total_time,threads,write_level
SynchronizedRandomAccessList,200,31736083,1,3
SynchronizedRandomAccessList,200,122178300,4,3
SynchronizedRandomAccessList,200,217121165,7,3
SynchronizedRandomAccessList,200,318141898,10,3
CopyOnWriteArrayList,200,263253049,1,3
CopyOnWriteArrayList,200,2188207739,4,3
CopyOnWriteArrayList,200,5865570123,7,3
CopyOnWriteArrayList,200,6400587643,10,3
ConcurrentHashMap,250,13098657,1,3
ConcurrentHashMap,250,31129505,4,3
ConcurrentHashMap,250,1789190,7,3
ConcurrentHashMap,250,2875583,10,3
SynchronizedMap,250,267440,1,3
SynchronizedMap,250,2300210,4,3
SynchronizedMap,250,1938054,7,3
SynchronizedMap,250,3656436,10,3
SynchronizedRandomAccessList,250,40253097,1,3
SynchronizedRandomAccessList,250,170061208,4,3
SynchronizedRandomAccessList,250,304325366,7,3
SynchronizedRandomAccessList,250,443697106,10,3
CopyOnWriteArrayList,250,1279376763,1,3
CopyOnWriteArrayList,250,3956741417,4,3
CopyOnWriteArrayList,250,6685777270,7,3
CopyOnWriteArrayList,250,8842806053,10,3
ConcurrentHashMap,300,12690306,1,3
ConcurrentHashMap,300,21703964,4,3
ConcurrentHashMap,300,1441169,7,3
ConcurrentHashMap,300,6383921,10,3
SynchronizedMap,300,349716,1,3
SynchronizedMap,300,1162468,4,3
SynchronizedMap,300,4902323,7,3
SynchronizedMap,300,4652647,10,3
SynchronizedRandomAccessList,300,50682416,1,3
SynchronizedRandomAccessList,300,208505626,4,3
SynchronizedRandomAccessList,300,376101315,7,3
SynchronizedRandomAccessList,300,577405602,10,3
CopyOnWriteArrayList,300,962928886,1,3
CopyOnWriteArrayList,300,3583328729,4,3
CopyOnWriteArrayList,300,5905072030,7,3
CopyOnWriteArrayList,300,8597357162,10,3
ConcurrentHashMap,350,13615541,1,3
ConcurrentHashMap,350,29174544,4,3
ConcurrentHashMap,350,2568274,7,3
ConcurrentHashMap,350,5478566,10,3
SynchronizedMap,350,6813272,1,3
SynchronizedMap,350,5164200,4,3
SynchronizedMap,350,11117413,7,3
SynchronizedMap,350,7636824,10,3
SynchronizedRandomAccessList,350,79665008,1,3
SynchronizedRandomAccessList,350,397667985,4,3
SynchronizedRandomAccessList,350,550035531,7,3
SynchronizedRandomAccessList,350,776938272,10,3
CopyOnWriteArrayList,350,1088602392,1,3
CopyOnWriteArrayList,350,3665723161,4,3
CopyOnWriteArrayList,350,8700123885,7,3
CopyOnWriteArrayList,350,10738370521,10,3
ConcurrentHashMap,400,668771,1,3
ConcurrentHashMap,400,1647486,4,3
ConcurrentHashMap,400,2089714,7,3
ConcurrentHashMap,400,3086493,10,3
SynchronizedMap,400,400062,1,3
SynchronizedMap,400,1222660,4,3
SynchronizedMap,400,2067223,7,3
SynchronizedMap,400,8582765,10,3
SynchronizedRandomAccessList,400,82253256,1,3
SynchronizedRandomAccessList,400,317475820,4,3
SynchronizedRandomAccessList,400,544829087,7,3
SynchronizedRandomAccessList,400,820318194,10,3
CopyOnWriteArrayList,400,1153426166,1,3
CopyOnWriteArrayList,400,4717077937,4,3
CopyOnWriteArrayList,400,8289984165,7,3
CopyOnWriteArrayList,400,12933454813,10,3
ConcurrentHashMap,450,5174125,1,3
ConcurrentHashMap,450,11618205,4,3
ConcurrentHashMap,450,2035109,7,3
ConcurrentHashMap,450,2517689,10,3
SynchronizedMap,450,340241,1,3
SynchronizedMap,450,1891169,4,3
SynchronizedMap,450,2686404,7,3
SynchronizedMap,450,3529061,10,3
SynchronizedRandomAccessList,450,83214613,1,3
SynchronizedRandomAccessList,450,351922413,4,3
SynchronizedRandomAccessList,450,630868028,7,3
SynchronizedRandomAccessList,450,978471406,10,3
CopyOnWriteArrayList,450,1377159962,1,3
